change_v1,change_v2,change_w0,change_w1,change_time,query_v1,query_v2,query_time,neo4j_update_time,neo4j_project_time,neo4j_query_time,neo4j_drop_time
12035,78524,100.0,533.92,0.051125,277275.0,144682.0,0.000116,0.2977020409889519,0.1374887316487729,1.6576118171215055,0.0489674732089042
38127,40155,98.0,28.384,0.987876,77484.0,145303.0,0.000203,0.0350887379609048,0.0149050499312579,0.2195195169188082,0.0193499871529638
72484,271675,100.0,978.085,0.019442,317638.0,54989.0,3e-05,0.0302805141545832,0.0146578419953584,0.1893528560176491,0.0156910908408463
48170,64790,100.0,41.425,0.381471,80824.0,222184.0,0.00024,0.0263306428678333,0.0112145561724901,0.1817346550524234,0.0106729329563677
41920,96335,100.0,806.84,0.184845,332050.0,129299.0,0.000182,0.0254705660045146,0.0110899452120065,0.179489113856107,0.0113813150674104
22784,72726,99.0,43.781,12.026412,281607.0,28917.0,0.000172,0.0255631268955767,0.0099279968999326,0.1730397450737655,0.0113881947472691
26850,95977,100.0,423.367,0.374906,306612.0,197425.0,0.000119,0.0272895800881087,0.0101169818080961,0.2262866501696407,0.0110104749910533
20735,58670,100.0,30.702,3.797542,105945.0,123149.0,3.2e-05,0.025885421782732,0.0100831249728798,0.16809325478971,0.0104143503122031
2995,82824,99.0,676.849,1.068764,1383.0,20982.0,1.4e-05,0.0269584767520427,0.0094000753015279,0.1750242221169173,0.0161836082115769
10804,73266,100.0,49.784,0.588779,211245.0,143164.0,7.8e-05,0.0277922502718865,0.0104341763071715,0.1926361238583922,0.0105335679836571
64342,65134,100.0,915.191,0.128573,73118.0,69087.0,3.8e-05,0.0297895218245685,0.0099817528389394,0.1699425978586077,0.0114465253427624
2828,99001,100.0,47.716,0.943891,245758.0,178383.0,0.000278,0.0278268633410334,0.0095490859821438,0.172634223010391,0.0099560283124446
4293,14425,99.0,203.177,4.018786,148247.0,74299.0,0.000124,0.0321244192309677,0.0101011521182954,0.1745743597857654,0.0104117868468165
11842,77498,99.0,43.549,5.287523,53613.0,335468.0,0.000108,0.0298251500353217,0.009191061835736,0.1913120890967548,0.0107448901981115
86447,207437,100.0,260.78,0.209419,3632.0,168531.0,2e-05,0.0271829641424119,0.0093265790492296,0.1759032579138875,0.017110307700932
23463,76230,95.0,45.247,2.651323,182979.0,315199.0,0.000219,0.0266256039030849,0.0096680158749222,0.1715764421969652,0.0097436001524329
16051,101043,100.0,358.01,0.297236,157131.0,44606.0,6.3e-05,0.0273781828582286,0.0086699686944484,0.1718563111498952,0.0097375186160206
7666,91966,100.0,22.903,7.052784,6179.0,191455.0,0.000122,0.0275459610857069,0.0092902611941099,0.1689899922348559,0.0101469331420958
4538,56196,100.0,832.239,2.217361,219343.0,35839.0,3e-05,0.0275162579491734,0.009377253241837,0.1687623471952974,0.015745717100799
44991,98000,100.0,22.022,1.53236,74108.0,285880.0,0.000119,0.0265538967214524,0.0100273191928863,0.1755754412151873,0.0099448598921298
3519,24817,100.0,335.977,0.900311,30262.0,316494.0,0.000104,0.0278143743053078,0.0091389720328152,0.1768373032100498,0.0098382630385458
1178,48170,100.0,26.361,1.581889,40446.0,194874.0,5.2e-05,0.0269398316740989,0.0090463189408183,0.1697256313636899,0.0099485097452998
17823,50928,100.0,942.158,0.733259,173416.0,25043.0,3.5e-05,0.0275783822871744,0.0093012182042002,0.17350441403687,0.0096935359761118
71900,268590,100.0,41.728,3.426549,148801.0,187373.0,6.2e-05,0.0283865039236843,0.0085211009718477,0.169768791180104,0.0096300360746681
27764,104991,100.0,586.781,0.288251,230209.0,20190.0,9.7e-05,0.0321466368623077,0.0086340750567615,0.181302772834897,0.0092727439478039
78227,255255,100.0,49.687,0.467839,74690.0,250455.0,0.000123,0.0312749803997576,0.0088193318806588,0.1753421481698751,0.00970044080168
14425,91462,100.0,669.8,0.399339,244785.0,47110.0,0.000107,0.0264973868615925,0.0086576249450445,0.1799722923897206,0.0095411399379372
4850,65345,100.0,11.269,2.757602,108414.0,234360.0,0.000156,0.0268454258330166,0.0092857428826391,0.1751084397546947,0.0099778766743838
1572,7795,100.0,671.059,0.685947,79337.0,338003.0,0.000106,0.0302617279812693,0.0083887209184467,0.1686983285471797,0.0091939698904752
26581,85433,99.0,20.705,4.22882,63042.0,117796.0,0.000154,0.0266633010469377,0.008101332001388,0.1681322567164898,0.0091034388169646
52359,64693,100.0,437.427,0.115458,103510.0,97749.0,0.000123,0.0314859598875045,0.008141903206706,0.1736566708423197,0.0092561743222177
56223,161660,100.0,49.816,1.146058,44019.0,237547.0,8.2e-05,0.0257540359161794,0.0092698400840163,0.170339266769588,0.0091273626312613
22246,29798,100.0,908.459,0.503656,21622.0,207955.0,4e-05,0.0268648532219231,0.0084874359890818,0.170173610560596,0.008794073946774
21051,118739,100.0,14.274,0.123326,204588.0,215858.0,7.1e-05,0.0265749748796224,0.0143590751104056,0.1735303509049117,0.0090212798677384
22271,91815,100.0,925.393,0.045582,315953.0,215335.0,9.2e-05,0.031331768259406,0.0077387588098645,0.1705166376195848,0.0087990569882094
5992,90769,99.0,23.003,2.636065,318025.0,101168.0,0.000215,0.0273195500485599,0.0081193470396101,0.1741183390840888,0.0093904291279613
97172,213365,100.0,569.682,0.612305,290266.0,301483.0,0.000193,0.0269047752954065,0.0087147443555295,0.1705005299299955,0.0087046679109334
87290,226369,100.0,46.143,0.142106,126407.0,76302.0,0.000104,0.0264534945599734,0.0081682228483259,0.1706721629016101,0.0088377292267978
35471,127336,100.0,709.721,0.205682,234744.0,326648.0,0.000141,0.0274234171956777,0.0078432648442685,0.177738590631634,0.0089362207800149
12212,79271,100.0,25.191,2.577797,18136.0,64392.0,7.3e-05,0.0264252950437366,0.0076429932378232,0.1698084138333797,0.0085814003832638
2824,20096,100.0,349.984,0.391303,331171.0,153710.0,4.7e-05,0.0253616967238485,0.0075323693454265,0.1773383291438222,0.0088180489838123
59844,225156,100.0,31.156,0.901302,194040.0,273285.0,3.3e-05,0.0263033886440098,0.0081367441453039,0.1714657698757946,0.0089554958976805
44342,199043,100.0,501.403,0.235925,273366.0,309530.0,0.000198,0.0255224369466304,0.0081519181840121,0.1727831093594432,0.0087763401679694
14425,92016,99.0,43.618,0.775919,231606.0,70776.0,0.000119,0.0257960618473589,0.0072585828602313,0.1701629348099231,0.0083671938627958
3738,77836,100.0,800.199,0.131183,154607.0,244578.0,6.9e-05,0.0264174537733197,0.0072887488640844,0.17910668393597,0.0082219000905752
70322,208736,100.0,34.791,0.391275,304174.0,226041.0,0.000103,0.0256950170733034,0.0073011359199881,0.166684724856168,0.0088743190281093
22204,123108,100.0,451.958,0.266719,155355.0,223011.0,8.8e-05,0.0266056968830525,0.0085943667218089,0.1693072151392698,0.0083156963810324
56837,134721,100.0,30.159,2.323061,254201.0,216464.0,3e-05,0.0264536058530211,0.0093010119162499,0.175213917158544,0.0089632589370012
22745,58738,98.0,735.108,0.311205,211015.0,10682.0,2.2e-05,0.0257855639792978,0.0073975869454443,0.1659955750219524,0.0083683719858527
27191,119062,100.0,38.593,0.11595,89202.0,246711.0,6.6e-05,0.02654720377177,0.0075772469863295,0.1705270139500498,0.0082096001133322
44435,52952,100.0,581.894,0.112153,148397.0,246558.0,0.000108,0.0266985367052257,0.0071111940778791,0.1671571051701903,0.0082370140589773
1323,51785,100.0,23.971,1.870019,201805.0,115201.0,0.00028,0.0263557997532188,0.0072901709936559,0.1714959689415991,0.0080974451266229
28335,28901,100.0,732.326,0.698092,124860.0,101332.0,9.9e-05,0.0250144093297421,0.0073386570438742,0.167051482014358,0.0081571098417043
96127,322610,100.0,38.532,0.214905,122555.0,85301.0,7.4e-05,0.02501976583153,0.0071209780871868,0.1682091131806373,0.0082353977486491
29444,98159,100.0,382.478,0.069777,337184.0,26637.0,4.5e-05,0.0249794409610331,0.0070770690217614,0.1652926104143262,0.0081588579341769
45992,55617,100.0,28.028,0.937715,19934.0,46224.0,5.7e-05,0.025288357399404,0.0068586198613047,0.1671257778070867,0.0078594419173896
32019,82846,100.0,321.4,0.15854,176087.0,205332.0,9.5e-05,0.024975387379527,0.0069513306953012,0.1626645280048251,0.0084161460399627
80494,88629,99.0,15.47,1.077247,328494.0,96644.0,0.000103,0.0257067312486469,0.0076968502253293,0.1628853720612824,0.0083915819413959
73686,94101,95.0,848.041,0.208901,204037.0,36626.0,6.3e-05,0.0256070871837437,0.0071900347247719,0.1826185770332813,0.0081683001480996
99791,165108,100.0,20.996,1.39834,340017.0,160621.0,5.3e-05,0.0264388117939233,0.0074589578434824,0.1678680442273616,0.0083622359670698
2829,91203,99.0,852.281,0.258767,227760.0,130730.0,7.3e-05,0.0260655400343239,0.0071230819448828,0.1659236270934343,0.0081950887106359
61037,74659,99.0,27.057,4.31212,84881.0,307241.0,0.000186,0.0259644300676882,0.0071019739843904,0.1682173470035195,0.0081631490029394
12307,42769,100.0,916.823,0.002129,273566.0,289374.0,3.4e-05,0.0307304020971059,0.0074921217747032,0.1659714188426733,0.0094443392008543
35700,81344,100.0,14.123,2.147095,261682.0,6433.0,3.1e-05,0.0261399140581488,0.0076438020914793,0.1695325872860849,0.0082232682034373
13657,82728,99.0,252.545,0.21828,243087.0,238654.0,0.000152,0.0265979832038283,0.0069003808312118,0.1634377730078995,0.0082402257248759
99989,140205,100.0,16.874,1.739041,97353.0,148148.0,5.8e-05,0.0240142862312495,0.0069048698060214,0.1607215092517435,0.0080236718058586
15807,45483,100.0,607.431,0.220947,239079.0,33088.0,9.7e-05,0.0242092940025031,0.0067668589763343,0.1636752118356526,0.0080088139511644
79153,105055,99.0,45.315,0.2882,268833.0,19871.0,0.000174,0.0241287467069923,0.0074554709717631,0.1617055456154048,0.008261976763606
61479,164178,100.0,393.144,0.084797,112945.0,155728.0,8.3e-05,0.0250340402126312,0.0072772218845784,0.1619551628828048,0.0078823086805641
